new_id,steady_pop,resident_count,init_pop,population
US_SanJose_00001,14.077140808105469,14.077140808105469,3073.915631155233,23.288519
US_SanJose_00002,64.18502807617188,64.18502807617188,3073.915631155233,4359.249
US_SanJose_00003,523.6914672851562,523.6914672851562,3073.915631155233,5426.7485
US_SanJose_00004,91.68138122558594,91.68138122558594,3073.915631155233,5534.9326
US_SanJose_00005,541.9713134765625,541.9713134765625,3073.915631155233,4740.3335
US_SanJose_00006,1318.701171875,1318.701171875,3073.915631155233,808.6987
US_SanJose_00007,579.447998046875,579.447998046875,3073.915631155233,2523.017
US_SanJose_00008,9130.544921875,9130.544921875,3073.915631155233,1016.07184
US_SanJose_00009,7789.271484375,7789.271484375,3073.915631155233,2129.712
US_SanJose_00010,32.22243118286133,32.22243118286133,3073.915631155233,3229.1948
US_SanJose_00011,32.29325866699219,32.29325866699219,3073.915631155233,29.032194
US_SanJose_00012,32.36905670166016,32.36905670166016,3073.915631155233,5294.321
US_SanJose_00013,49.3811149597168,49.3811149597168,3073.915631155233,6768.7
US_SanJose_00014,449.17132568359375,449.17132568359375,3073.915631155233,6785.491
US_SanJose_00015,859.8955688476562,859.8955688476562,3073.915631155233,6271.75
US_SanJose_00016,395.3994140625,395.3994140625,3073.915631155233,4762.6475
US_SanJose_00017,3403.107666015625,3403.107666015625,3073.915631155233,3427.6707
US_SanJose_00018,8574.86328125,8574.86328125,3073.915631155233,3431.4746
US_SanJose_00019,10186.701171875,10186.701171875,3073.915631155233,3163.553
US_SanJose_00020,23.88965606689453,23.88965606689453,3073.915631155233,3816.604
US_SanJose_00021,89.60916137695312,89.60916137695312,3073.915631155233,32.003838
US_SanJose_00022,6.423465728759766,6.423465728759766,3073.915631155233,32.848495
US_SanJose_00023,1.249692440032959,1.249692440032959,3073.915631155233,37.23863
US_SanJose_00024,15.341238021850586,15.341238021850586,3073.915631155233,5681.455
US_SanJose_00025,1053.962890625,1053.962890625,3073.915631155233,46.317158
US_SanJose_00026,1527.1307373046875,1527.1307373046875,3073.915631155233,5418.154
US_SanJose_00027,1051.788818359375,1051.788818359375,3073.915631155233,3690.8835
US_SanJose_00028,3834.007568359375,3834.007568359375,3073.915631155233,4184.148
US_SanJose_00029,11504.607421875,11504.607421875,3073.915631155233,3718.5942
US_SanJose_00030,13245.880859375,13245.880859375,3073.915631155233,3490.8145
US_SanJose_00031,19745.814453125,19745.814453125,3073.915631155233,2549.7065
US_SanJose_00032,44.939727783203125,44.939727783203125,3073.915631155233,4200.9277
US_SanJose_00033,45.98405456542969,45.98405456542969,3073.915631155233,36.73957
US_SanJose_00034,29.316123962402344,29.316123962402344,3073.915631155233,5341.3955
US_SanJose_00035,81.51142883300781,81.51142883300781,3073.915631155233,38.993954
US_SanJose_00036,454.6944885253906,454.6944885253906,3073.915631155233,46.854782
US_SanJose_00037,1562.077392578125,1562.077392578125,3073.915631155233,4671.206
US_SanJose_00038,3843.6982421875,3843.6982421875,3073.915631155233,5709.551
US_SanJose_00039,6546.5068359375,6546.5068359375,3073.915631155233,8698.387
US_SanJose_00040,15108.2861328125,15108.2861328125,3073.915631155233,5606.067
US_SanJose_00041,13423.6015625,13423.6015625,3073.915631155233,3695.0793
US_SanJose_00042,8931.865234375,8931.865234375,3073.915631155233,3845.9553
US_SanJose_00043,5513.78173828125,5513.78173828125,3073.915631155233,1861.6139
US_SanJose_00044,69.22034454345703,69.22034454345703,3073.915631155233,4558.456
US_SanJose_00045,37.90103530883789,37.90103530883789,3073.915631155233,39.268417
US_SanJose_00046,58.28815460205078,58.28815460205078,3073.915631155233,6192.587
US_SanJose_00047,101.612060546875,101.612060546875,3073.915631155233,6745.6753
US_SanJose_00048,84.52140045166016,84.52140045166016,3073.915631155233,48.32317
US_SanJose_00049,8.198354721069336,8.198354721069336,3073.915631155233,50.250843
US_SanJose_00050,1676.89453125,1676.89453125,3073.915631155233,4961.2773
US_SanJose_00051,4475.2978515625,4475.2978515625,3073.915631155233,4717.106
US_SanJose_00052,8919.22265625,8919.22265625,3073.915631155233,6080.268
US_SanJose_00053,20202.68359375,20202.68359375,3073.915631155233,12070.245
US_SanJose_00054,14166.5751953125,14166.5751953125,3073.915631155233,11344.065
US_SanJose_00055,2846.449462890625,2846.449462890625,3073.915631155233,7857.2754
US_SanJose_00056,2.040316581726074,2.040316581726074,3073.915631155233,2374.9646
US_SanJose_00057,36.52294921875,36.52294921875,3073.915631155233,2805.8013
US_SanJose_00058,29.236669540405277,29.236669540405277,3073.915631155233,5927.9326
US_SanJose_00059,61.76409149169922,61.76409149169922,3073.915631155233,6400.5356
US_SanJose_00060,35.85831451416016,35.85831451416016,3073.915631155233,50.699455
US_SanJose_00061,63.21232604980469,63.21232604980469,3073.915631155233,6938.5684
US_SanJose_00062,620.9119873046875,620.9119873046875,3073.915631155233,6101.974
US_SanJose_00063,4795.65673828125,4795.65673828125,3073.915631155233,5284.1997
US_SanJose_00064,5972.4287109375,5972.4287109375,3073.915631155233,7616.1143
US_SanJose_00065,8179.06103515625,8179.06103515625,3073.915631155233,3090.9543
US_SanJose_00066,10159.890625,10159.890625,3073.915631155233,6704.911
US_SanJose_00067,13871.806640625,13871.806640625,3073.915631155233,11524.534
US_SanJose_00068,7021.154296875,7021.154296875,3073.915631155233,10391.427
US_SanJose_00069,62.96663284301758,62.96663284301758,3073.915631155233,4775.471
US_SanJose_00070,186.8966522216797,186.8966522216797,3073.915631155233,28.364218
US_SanJose_00071,104.0294189453125,104.0294189453125,3073.915631155233,1381.8011
