new_id,resident_count
060855012002,71
060855120342,39
060855067033,39
060855098013,83
060855120173,132
060855031132,84
060855002003,63
060855083044,68
060855063053,67
060855072031,60
060855114001,13
060855120341,107
060855066045,69
060855037033,94
060855029083,72
060855083031,51
060855033303,170
060855006002,44
060855015012,87
060855019002,89
060855123081,138
060855124023,59
060855078051,122
060855075004,133
060855068031,57
060855008002,127
060855001004,155
060855043183,72
060855104002,22
060855035092,55
060855087031,42
060855070021,80
060855066051,107
060855092024,43
060855061012,76
060855123052,82
060855035093,51
060855084032,40
060855087041,70
060855087034,67
060855050092,56
060855050093,266
060855043233,31
060855117021,63
060855077013,42
060855105002,65
060855086021,141
060855082023,48
060855063042,22
060855061031,66
060855120291,88
060855011023,49
060855044112,149
060855029072,94
060855079051,71
060855038041,79
060855080043,105
060855075002,47
060855050011,377
060855079063,32
060855038024,120
060855033271,58
060855082025,49
060855035101,90
060855043081,81
060855066011,89
060855031103,52
060855085084,38
060855086023,29
060855035091,76
060855051001,494
060855054014,353
060855019001,198
060855062022,116
060855029082,115
060855054031,81
060855012004,202
060855066033,46
060855018001,65
060855029013,47
060855031221,156
060855074013,41
060855122002,96
060855050072,134
060855037082,11
060855063013,67
060855126021,148
060855033312,48
060855119111,104
060855044203,34
060855123051,151
060855020022,224
060855120241,168
060855080013,97
060855043212,47
060855125031,240
060855040022,157
060855080011,89
060855123071,74
060855040021,82
060855120521,33
060855025004,64
060855112004,37
060855120272,86
060855063021,98
060855068022,42
060855119151,54
060855120432,88
060855030021,78
060855044152,95
060855056003,108
060855094044,87
060855011022,72
060855085072,70
060855119103,49
060855033152,73
060855078061,40
060855091052,77
060855024006,38
060855091082,39
060855033311,85
060855079053,89
060855029032,36
060855119162,127
060855102002,42
060855091091,132
060855004002,40
060855032042,53
060855097001,30
060855120172,99
060855068034,52
060855120391,78
060855039023,45
060855119093,145
060855021011,124
060855067021,114
060855005005,51
060855085044,101
060855091053,58
060855123143,103
060855102003,61
060855036021,57
060855034021,5
060855029104,57
060855035041,71
060855050082,102
060855077023,83
060855033221,49
060855033133,69
060855050013,100
060855030033,57
060855033042,91
060855066012,33
060855056001,53
060855025002,40
060855095002,93
060855079041,198
060855119071,70
060855028003,59
060855054032,82
060855035102,53
060855026012,24
060855033262,94
060855033122,98
060855091051,118
060855123141,100
060855120533,29
060855120522,141
060855054033,126
060855059001,115
060855117042,35
060855060002,28
060855092014,70
060855106003,79
060855069001,58
060855031083,31
060855120523,50
060855072053,74
060855027023,36
060855048052,146
060855027013,87
060855082024,40
060855048021,89
060855104001,60
060855093031,29
060855120191,46
060855057003,78
060855036011,45
060855032102,88
060855120202,103
060855060004,32
060855111003,36
060855033151,102
060855093021,141
060855042021,46
060855037091,170
060855066013,91
060855068025,30
060855074021,64
060855050071,73
060855111001,175
060855079064,38
060855076004,69
060855037093,61
060855031171,66
060855031183,98
060855043162,83
060855120313,60
060855042011,97
060855050014,61
060855092012,352
060855034022,142
060855081012,88
060855059002,31
060855120055,80
060855103003,22
060855094013,39
060855026043,36
060855112002,32
060855010001,63
060855069004,100
060855072051,37
060855031181,31
060855010005,43
060855102001,58
060855033131,96
060855040011,65
060855087032,86
060855062042,61
060855029101,28
060855104003,42
060855044183,31
060855098014,53
060855030032,71
060855066041,53
060855078081,18
060855125051,207
060855032181,110
060855126033,122
060855032043,62
060855031211,179
060855077031,38
060855065033,298
060855027024,62
060855044161,68
060855029011,52
060855091071,102
060855059005,37
060855125102,63
060855043113,88
060855110002,35
060855031222,65
060855033372,52
060855037131,33
060855053044,27
060855085033,132
060855076001,31
060855033362,206
060855031101,100
060855053033,26
060855099023,64
060855120351,99
060855113012,84
060855038042,67
060855029022,105
060855031051,143
060855068042,51
060855085083,128
060855111004,52
060855037102,76
060855048022,47
060855026041,136
060855078052,48
060855033062,70
060855029012,72
060855045051,33
060855119152,93
060855029033,55
060855022022,29
060855033361,59
060855098012,19
060855027021,102
060855082022,110
060855043221,85
060855049011,421
060855123092,116
060855032123,43
060855031151,306
060855120251,86
060855120431,179
060855082031,36
060855087042,441
060855030022,74
060855124012,59
060855099022,35
060855038021,167
060855005001,39
060855033302,78
060855085031,88
060855072061,58
060855033132,70
060855073022,32
060855044123,61
060855070014,26
060855037112,71
060855087035,132
060855044211,61
060855030012,49
060855065021,61
060855042022,85
060855037032,72
060855005002,91
060855009022,108
060855032101,111
060855097003,51
060855043153,86
060855100021,54
060855064012,149
060855080031,56
060855064024,25
060855043223,105
060855120311,46
060855087033,33
060855033261,250
060855030034,30
060855053014,131
060855072032,68
060855033222,56
060855033251,83
060855045044,391
060855065023,91
060855082021,81
060855033212,113
060855077011,36
060855035081,159
060855072052,61
060855068041,30
060855061032,37
060855024001,20
060855055003,60
060855125092,76
060855084043,44
060855026032,33
060855042023,96
060855035042,73
060855111002,42
060855126032,38
060855017002,35
060855084031,31
060855046011,192
060855033231,102
060855053011,49
060855037073,61
060855083032,53
060855056002,32
060855063054,105
060855089001,134
060855084033,51
060855120193,176
060855044131,83
060855044122,34
060855120393,66
060855094032,108
060855098011,75
060855085042,85
060855082042,31
060855033232,280
060855021021,190
060855032121,48
060855044212,76
060855117013,38
060855033323,34
060855089002,46
060855090002,62
060855120213,58
060855093033,18
060855032132,117
060855062033,101
060855052023,220
060855120012,34
060855033371,73
060855043151,59
060855119072,183
060855122001,45
060855120472,70
060855101001,49
060855120323,108
060855082032,197
060855120294,104
060855120531,100
060855106001,28
060855099021,133
060855123082,134
060855043143,166
060855068013,82
060855085051,50
060855043144,80
060855095003,58
060855044231,103
060855074023,57
060855044111,119
060855072062,44
060855123111,227
060855044124,49
060855084042,69
060855050015,50
060855067032,39
060855026033,40
060855034023,130
060855016003,90
060855125061,78
060855066063,126
060855050062,452
060855035043,42
060855125101,109
060855092021,87
060855120422,76
060855074011,36
060855105001,43
060855010003,158
060855066052,95
060855120334,88
060855120212,79
060855119121,119
060855014022,86
060855033322,17
060855065011,96
060855059003,46
060855031212,83
060855023012,70
060855068024,24
060855125081,70
060855043154,48
060855045074,90
060855035071,79
060855031172,64
060855043191,129
060855031102,44
060855091063,82
060855120532,61
060855045052,100
060855063012,88
060855085032,75
060855037132,15
060855077034,45
060855088001,91
060855043201,65
060855120221,53
060855101002,23
060855058003,28
060855062023,114
060855116082,130
060855125091,101
060855083041,64
060855119131,55
060855032081,68
060855113011,85
060855044181,66
060855084011,29
060855053012,25
060855059004,57
060855013002,18
060855043082,66
060855039022,44
060855043213,66
060855032182,82
060855123132,62
060855098022,44
060855016002,37
060855033273,60
060855034012,63
060855080042,56
060855026013,37
060855120361,146
060855085052,49
060855020021,31
060855092013,53
060855035045,40
060855033291,79
060855029081,95
060855124022,58
060855033343,87
060855029102,36
060855115005,130
060855123072,120
060855087043,77
060855093041,93
060855029014,69
060855044201,88
060855033051,98
060855061021,56
060855032111,120
060855035111,39
060855033041,111
060855045042,0
060855043182,16
060855108013,75
060855050061,333
060855031122,84
060855119091,139
060855100014,42
060855120051,55
060855043171,129
060855108031,29
060855099011,70
060855050012,84
060855083012,47
060855062031,44
060855029061,63
060855041012,378
060855064022,12
060855036022,80
060855027022,86
060855027011,55
060855125084,75
060855033121,29
060855120333,65
060855120201,59
060855119051,155
060855032071,143
060855065012,102
060855045053,201
060855120451,3986
060855061011,46
060855084041,205
060855095001,85
060855076002,34
060855100022,44
060855108021,32
060855030031,55
060855033292,74
060855078072,199
060855107003,105
060855068023,44
060855125052,104
060855064023,153
060855117022,34
060855024003,28
060855035082,97
060855120233,76
060855037121,87
060855120371,108
060855120302,47
060855060001,52
060855033053,184
060855031162,149
060855043211,114
060855079042,49
060855117051,459
060855053053,105
060855054021,43
060855015021,58
060855025001,34
060855077012,72
060855003002,157
060855012001,28
060855099012,37
060855082041,67
060855074014,41
060855024007,30
060855123102,60
060855083013,73
060855086013,55
060855086011,18
060855125063,135
060855123144,40
060855120231,103
060855113022,44
060855044213,81
060855085053,70
060855114003,21
060855032044,36
060855078063,135
060855033043,86
060855067012,66
060855120331,49
060855083043,54
060855045071,42
060855105003,104
060855091072,124
060855013003,90
060855091083,38
060855118001,89
060855037031,30
060855032045,86
060855063041,217
060855029031,48
060855033123,61
060855119161,89
060855073014,35
060855123091,152
060855115001,51
060855018002,56
060855090004,61
060855052032,52
060855032082,90
060855029063,59
060855072054,31
060855055001,164
060855043152,35
060855120211,78
060855066043,57
060855077033,85
060855063052,138
060855033324,76
060855044143,96
060855091022,114
060855008001,338
060855021022,99
060855085043,59
060855062044,49
060855065032,65
060855100012,70
060855058004,36
060855066044,53
060855020012,37
060855053034,73
060855025003,32
060855036012,85
060855068012,74
060855033341,209
060855032142,145
060855110001,53
060855078083,41
060855024002,31
060855119142,99
060855124021,154
060855117043,65
060855074015,28
060855123073,83
060855037071,63
060855126041,73
060855015011,110
060855044202,74
060855114004,32
060855058002,73
060855070011,53
060855093034,31
060855035061,98
060855119133,79
060855118003,42
060855100015,24
060855032172,61
060855016001,36
060855034011,62
060855020014,81
060855084016,61
060855052031,238
060855038032,85
060855017004,67
060855026031,28
060855120203,192
060855057004,81
