new_id,steady_pop,resident_count
US_SanJose_00001,14.077140808105469,14.077140808105469
US_SanJose_00002,64.18502807617188,64.18502807617188
US_SanJose_00003,523.6914672851562,523.6914672851562
US_SanJose_00004,91.68138122558594,91.68138122558594
US_SanJose_00005,541.9713134765625,541.9713134765625
US_SanJose_00006,1318.701171875,1318.701171875
US_SanJose_00007,579.447998046875,579.447998046875
US_SanJose_00008,9130.544921875,9130.544921875
US_SanJose_00009,7789.271484375,7789.271484375
US_SanJose_00010,32.22243118286133,32.22243118286133
US_SanJose_00011,32.29325866699219,32.29325866699219
US_SanJose_00012,32.369056701660156,32.369056701660156
US_SanJose_00013,49.3811149597168,49.3811149597168
US_SanJose_00014,449.17132568359375,449.17132568359375
US_SanJose_00015,859.8955688476562,859.8955688476562
US_SanJose_00016,395.3994140625,395.3994140625
US_SanJose_00017,3403.107666015625,3403.107666015625
US_SanJose_00018,8574.86328125,8574.86328125
US_SanJose_00019,10186.701171875,10186.701171875
US_SanJose_00020,23.88965606689453,23.88965606689453
US_SanJose_00021,89.60916137695312,89.60916137695312
US_SanJose_00022,6.423465728759766,6.423465728759766
US_SanJose_00023,1.249692440032959,1.249692440032959
US_SanJose_00024,15.341238021850586,15.341238021850586
US_SanJose_00025,1053.962890625,1053.962890625
US_SanJose_00026,1527.1307373046875,1527.1307373046875
US_SanJose_00027,1051.788818359375,1051.788818359375
US_SanJose_00028,3834.007568359375,3834.007568359375
US_SanJose_00029,11504.607421875,11504.607421875
US_SanJose_00030,13245.880859375,13245.880859375
US_SanJose_00031,19745.814453125,19745.814453125
US_SanJose_00032,44.939727783203125,44.939727783203125
US_SanJose_00033,45.98405456542969,45.98405456542969
US_SanJose_00034,29.316123962402344,29.316123962402344
US_SanJose_00035,81.51142883300781,81.51142883300781
US_SanJose_00036,454.6944885253906,454.6944885253906
US_SanJose_00037,1562.077392578125,1562.077392578125
US_SanJose_00038,3843.6982421875,3843.6982421875
US_SanJose_00039,6546.5068359375,6546.5068359375
US_SanJose_00040,15108.2861328125,15108.2861328125
US_SanJose_00041,13423.6015625,13423.6015625
US_SanJose_00042,8931.865234375,8931.865234375
US_SanJose_00043,5513.78173828125,5513.78173828125
US_SanJose_00044,69.22034454345703,69.22034454345703
US_SanJose_00045,37.90103530883789,37.90103530883789
US_SanJose_00046,58.28815460205078,58.28815460205078
US_SanJose_00047,101.612060546875,101.612060546875
US_SanJose_00048,84.52140045166016,84.52140045166016
US_SanJose_00049,8.198354721069336,8.198354721069336
US_SanJose_00050,1676.89453125,1676.89453125
US_SanJose_00051,4475.2978515625,4475.2978515625
US_SanJose_00052,8919.22265625,8919.22265625
US_SanJose_00053,20202.68359375,20202.68359375
US_SanJose_00054,14166.5751953125,14166.5751953125
US_SanJose_00055,2846.449462890625,2846.449462890625
US_SanJose_00056,2.040316581726074,2.040316581726074
US_SanJose_00057,36.52294921875,36.52294921875
US_SanJose_00058,29.236669540405273,29.236669540405273
US_SanJose_00059,61.76409149169922,61.76409149169922
US_SanJose_00060,35.858314514160156,35.858314514160156
US_SanJose_00061,63.21232604980469,63.21232604980469
US_SanJose_00062,620.9119873046875,620.9119873046875
US_SanJose_00063,4795.65673828125,4795.65673828125
US_SanJose_00064,5972.4287109375,5972.4287109375
US_SanJose_00065,8179.06103515625,8179.06103515625
US_SanJose_00066,10159.890625,10159.890625
US_SanJose_00067,13871.806640625,13871.806640625
US_SanJose_00068,7021.154296875,7021.154296875
US_SanJose_00069,62.96663284301758,62.96663284301758
US_SanJose_00070,186.8966522216797,186.8966522216797
US_SanJose_00071,104.0294189453125,104.0294189453125
US_SanJose_00072,58.64496612548828,58.64496612548828
US_SanJose_00073,298.767822265625,298.767822265625
US_SanJose_00074,915.3475341796875,915.3475341796875
US_SanJose_00075,413.1146545410156,413.1146545410156
US_SanJose_00076,6040.7421875,6040.7421875
US_SanJose_00077,9962.5322265625,9962.5322265625
US_SanJose_00078,9276.236328125,9276.236328125
US_SanJose_00079,10889.634765625,10889.634765625
US_SanJose_00080,19529.20703125,19529.20703125
US_SanJose_00081,10037.919921875,10037.919921875
US_SanJose_00082,2997.9169921875,2997.9169921875
US_SanJose_00083,98.59439086914062,98.59439086914062
US_SanJose_00084,124.8961181640625,124.8961181640625
US_SanJose_00085,296.6134338378906,296.6134338378906
US_SanJose_00086,49.67333984375,49.67333984375
US_SanJose_00087,140.8870849609375,140.8870849609375
US_SanJose_00088,2487.7197265625,2487.7197265625
US_SanJose_00089,5272.1865234375,5272.1865234375
US_SanJose_00090,5667.5,5667.5
US_SanJose_00091,14769.5009765625,14769.5009765625
US_SanJose_00092,10357.6416015625,10357.6416015625
US_SanJose_00093,19216.908203125,19216.908203125
US_SanJose_00094,17786.44140625,17786.44140625
US_SanJose_00095,13594.533203125,13594.533203125
US_SanJose_00096,9060.435546875,9060.435546875
US_SanJose_00097,264.10205078125,264.10205078125
US_SanJose_00098,1.5047547817230225,1.5047547817230225
US_SanJose_00099,1.0335988998413086,1.0335988998413086
US_SanJose_00100,194.79550170898438,194.79550170898438
US_SanJose_00101,86.72187042236328,86.72187042236328
US_SanJose_00102,316.4001770019531,316.4001770019531
US_SanJose_00103,98.45418548583984,98.45418548583984
US_SanJose_00104,806.4467163085938,806.4467163085938
US_SanJose_00105,2596.158203125,2596.158203125
US_SanJose_00106,4494.2958984375,4494.2958984375
US_SanJose_00107,7549.5205078125,7549.5205078125
US_SanJose_00108,13646.8984375,13646.8984375
US_SanJose_00109,11552.7236328125,11552.7236328125
