new_id,longitude,latitude
US_SanJose_00001,-122.19198821029997,37.30445754851495
US_SanJose_00002,-122.19179524429954,37.322483654087506
US_SanJose_00003,-122.1916021064148,37.34050970375453
US_SanJose_00004,-122.19140879648478,37.35853569750579
US_SanJose_00005,-122.19121531434821,37.37656163533106
US_SanJose_00006,-122.19102165984361,37.39458751722016
US_SanJose_00007,-122.19082783280935,37.41261334316291
US_SanJose_00008,-122.19063383308345,37.430639113149134
US_SanJose_00009,-122.19043966050377,37.448664827168734
US_SanJose_00010,-122.16962046887551,37.286275261149456
US_SanJose_00011,-122.16942229178375,37.30430132131777
US_SanJose_00012,-122.169223938175,37.3223273255432
US_SanJose_00013,-122.16902540788399,37.340353273815396
US_SanJose_00014,-122.16882670074523,37.358379166124095
US_SanJose_00015,-122.16862781659302,37.376405002459016
US_SanJose_00016,-122.16842875526136,37.39443078280992
US_SanJose_00017,-122.16822951658405,37.41245650716657
US_SanJose_00018,-122.16803010039466,37.430482175518755
US_SanJose_00019,-122.16783050652651,37.44850778785628
US_SanJose_00020,-122.14726348812702,37.26808882389611
US_SanJose_00021,-122.14706010952614,37.28611483595728
US_SanJose_00022,-122.14685654978446,37.304140792036996
US_SanJose_00023,-122.14665280873264,37.322166692124874
US_SanJose_00024,-122.14644888620086,37.34019253621054
US_SanJose_00025,-122.14624478201911,37.358218324283655
US_SanJose_00026,-122.1460404960172,37.37624405633388
US_SanJose_00027,-122.14583602802465,37.39426973235094
US_SanJose_00028,-122.14563137787079,37.41229535232451
US_SanJose_00029,-122.14542654538461,37.43032091624434
US_SanJose_00030,-122.14522153039489,37.4483464241002
US_SanJose_00031,-122.14501633273026,37.46637187588184
US_SanJose_00032,-122.12491725814746,37.24989824508768
US_SanJose_00033,-122.12470868761017,37.26792420634261
US_SanJose_00034,-122.12449993131737,37.28595011157639
US_SanJose_00035,-122.12429098909537,37.30397596077852
US_SanJose_00036,-122.12387254616756,37.340027491046094
US_SanJose_00037,-122.1236630451131,37.3580531720907
US_SanJose_00038,-122.123453357432,37.37607879706201
US_SanJose_00039,-122.12324348294929,37.394104365949644
US_SanJose_00040,-122.12303342148978,37.412129878743286
US_SanJose_00041,-122.12282317287797,37.430155335432595
US_SanJose_00042,-122.12261273693817,37.448180736007245
US_SanJose_00043,-122.12240211349439,37.466206080457006
US_SanJose_00044,-122.10258176903076,37.23170353305173
US_SanJose_00045,-122.10236801612041,37.249729440805226
US_SanJose_00046,-122.10215407284875,37.26775529249665
US_SanJose_00047,-122.10193993903782,37.285781088115456
US_SanJose_00048,-122.10172561450943,37.30380682765112
US_SanJose_00049,-122.10151109908509,37.32183251109315
US_SanJose_00050,-122.10129639258619,37.33985813843103
US_SanJose_00051,-122.10108149483366,37.357883709654324
US_SanJose_00052,-122.10086640564832,37.37590922475257
US_SanJose_00053,-122.10065112485067,37.393934683715365
US_SanJose_00054,-122.10043565226103,37.4119600865323
US_SanJose_00055,-122.10021998769933,37.429985433192975
US_SanJose_00056,-122.1000041309854,37.44801072368707
US_SanJose_00057,-122.08025701087176,37.21350469611065
US_SanJose_00058,-122.08003808514228,37.23153054767131
US_SanJose_00059,-122.07981896445457,37.24955634312782
US_SanJose_00060,-122.0795996486265,37.26758208246957
US_SanJose_00061,-122.07938013747567,37.28560776568595
US_SanJose_00062,-122.07916043081934,37.303633392766386
US_SanJose_00063,-122.07894052847463,37.32165896370031
US_SanJose_00064,-122.07872043025834,37.339684478477174
US_SanJose_00065,-122.078500135987,37.357709937086426
US_SanJose_00066,-122.0782796454769,37.375735339517604
US_SanJose_00067,-122.07805895854408,37.39376068576022
US_SanJose_00068,-122.07783807500422,37.4117859758038
US_SanJose_00069,-122.07761699467291,37.429811209637904
US_SanJose_00070,-122.05794297376644,37.19530174258167
US_SanJose_00071,-122.05771888476228,37.2133275352619
US_SanJose_00072,-122.05749459621201,37.23135327179478
US_SanJose_00073,-122.05727010792909,37.249378952169565
US_SanJose_00074,-122.05704541972703,37.2674045763756
US_SanJose_00075,-122.0568205314189,37.28543014440222
US_SanJose_00076,-122.0565954428176,37.30345565623876
US_SanJose_00077,-122.05637015373566,37.321481111874604
US_SanJose_00078,-122.05614466398548,37.339506511299156
US_SanJose_00079,-122.05591897337908,37.357531854501815
US_SanJose_00080,-122.05569308172817,37.375557141472015
US_SanJose_00081,-122.05546698884433,37.393582372199226
US_SanJose_00082,-122.05524069453887,37.411607546672904
US_SanJose_00083,-122.03586868662035,37.15906889347985
US_SanJose_00084,-122.0356396478117,37.177094680776825
US_SanJose_00085,-122.035410405068,37.195120411892866
US_SanJose_00086,-122.03518095819899,37.21314608681717
US_SanJose_00087,-122.03495130701417,37.231171705538934
US_SanJose_00088,-122.03472145132272,37.24919726804739
US_SanJose_00089,-122.03449139093355,37.26722277433178
US_SanJose_00090,-122.0342611256553,37.28524822438139
US_SanJose_00091,-122.03403065529643,37.303273618185514
US_SanJose_00092,-122.03379997966498,37.32129895573344
US_SanJose_00093,-122.03356909856882,37.339324237014516
US_SanJose_00094,-122.03333801181552,37.357349462018085
US_SanJose_00095,-122.03310671921234,37.37537463073351
US_SanJose_00096,-122.03287522056631,37.39339974315023
US_SanJose_00097,-122.03264351568416,37.411424799257595
US_SanJose_00098,-122.03217948643716,37.44747474250209
US_SanJose_00099,-122.03194716168439,37.46549962961814
US_SanJose_00100,-122.01334702310557,37.158883519002956
US_SanJose_00101,-122.01311263614797,37.17690918587486
US_SanJose_00102,-122.01287804049483,37.194934796509486
US_SanJose_00103,-122.01264323595149,37.21296035089597
