plonwgs84,platwgs84,id,version,sources,names,categories,confidence,websites,socials,emails,phones,brand,addresses,plonwgs84,platwgs84
-121.752329,36.9133867,1a6623c2-a924-41f8-8e23-67a346910833,1,"[{'property': '', 'dataset': 'meta', 'record_id': '109324734913329', 'update_time': '2025-06-02T07:00:00.000Z', 'confidence': 0.9784508333782836, 'between': None}]","{'primary': 'Henry J Mello Center for the Performing Arts', 'common': None, 'rules': None}","{'primary': 'theatre', 'alternate': array(['music_venue', 'topic_concert_venue'], dtype=object)}",0.9784508333782836,['http://www.mellocenter.com'],['https://www.facebook.com/109324734913329'],,['+18317286462'],,"[{'freeform': '250 E Beach St', 'locality': 'Watsonville', 'postcode': '95076-4831', 'region': 'CA', 'country': 'US'}]",-121.752329,36.9133867
-121.750079,36.9129236,6d180cc1-dcf4-4cc4-a99b-9c1372602261,1,"[{'property': '', 'dataset': 'meta', 'record_id': '220142828037794', 'update_time': '2025-06-02T07:00:00.000Z', 'confidence': 0.9300613496932515, 'between': None}]","{'primary': 'Watsonville High School Swimming Pool', 'common': None, 'rules': None}","{'primary': 'gym', 'alternate': array(['active_life', 'travel'], dtype=object)}",0.9300613496932515,,['https://www.facebook.com/220142828037794'],,,,"[{'freeform': None, 'locality': None, 'postcode': '95076', 'region': None, 'country': 'US'}]",-121.750079,36.9129236
-121.745322,36.912919,494a5a9f-0c0a-4bdf-9608-a660607e9d40,1,"[{'property': '', 'dataset': 'meta', 'record_id': '161160000616959', 'update_time': '2025-06-02T07:00:00.000Z', 'confidence': 0.5662921348314607, 'between': None}]","{'primary': 'Salsipuedes Creek Trail', 'common': None, 'rules': None}","{'primary': 'park', 'alternate': array(['active_life', 'river'], dtype=object)}",0.5662921348314607,['http://www.bringfido.com/attraction/12948'],['https://www.facebook.com/161160000616959'],,['+18317683240'],,"[{'freeform': '420 Bridge St', 'locality': 'Watsonville', 'postcode': '95076', 'region': 'CA', 'country': 'US'}]",-121.745322,36.912919
-122.19,37.01,9f23c886-568c-46bf-ac3b-857851ccd6cd,1,"[{'property': '', 'dataset': 'meta', 'record_id': '199433203806471', 'update_time': '2025-06-02T07:00:00.000Z', 'confidence': 0.5662921348314607, 'between': None}]","{'primary': 'Coast Dairies State Park', 'common': None, 'rules': None}","{'primary': 'park', 'alternate': array(['skate_park', 'national_park'], dtype=object)}",0.5662921348314607,['http://www.tpl.org/our-work/coast-dairies'],['https://www.facebook.com/199433203806471'],,,,"[{'freeform': None, 'locality': 'Davenport', 'postcode': None, 'region': 'CA', 'country': 'US'}]",-122.19,37.01
-122.0900353,36.9775543,28775b4b-0297-4a77-9472-773345fd9fb2,1,"[{'property': '', 'dataset': 'meta', 'record_id': '140269189347222', 'update_time': '2025-06-02T07:00:00.000Z', 'confidence': 0.49293966623876767, 'between': None}]","{'primary': 'Wilder Ranch State Park', 'common': None, 'rules': None}","{'primary': 'park', 'alternate': array(['skate_park'], dtype=object)}",0.4929396662387677,,['https://www.facebook.com/140269189347222'],,,,"[{'freeform': None, 'locality': 'Santa Cruz', 'postcode': None, 'region': 'CA', 'country': 'US'}]",-122.0900353,36.9775543
-122.0651198,36.94919,146d3190-2522-4245-8d5c-ddd991f951f2,1,"[{'property': '', 'dataset': 'meta', 'record_id': '140042759355335', 'update_time': '2025-06-02T07:00:00.000Z', 'confidence': 0.7548172757475083, 'between': None}]","{'primary': 'Long Marine Laboratory', 'common': None, 'rules': None}","{'primary': 'museum', 'alternate': array(['landmark_and_historical_building',
       'community_services_non_profits'], dtype=object)}",0.7548172757475083,['http://eventseeker.com'],['https://www.facebook.com/140042759355335'],,['+18314593800'],,"[{'freeform': '115 McAllister Way', 'locality': 'Santa Cruz', 'postcode': '95060-5795', 'region': 'CA', 'country': 'US'}]",-122.0651198,36.94919
-122.0649762,36.9492823,4c7054ae-e57b-4501-8209-caa7d2a48c6f,1,"[{'property': '', 'dataset': 'meta', 'record_id': '420299708018193', 'update_time': '2025-06-02T07:00:00.000Z', 'confidence': 0.49293966623876767, 'between': None}]","{'primary': 'UCSC Marine Lab And Seymour Marine Discovery Center', 'common': None, 'rules': None}","{'primary': 'museum', 'alternate': array(['history_museum', 'art_museum'], dtype=object)}",0.4929396662387677,,['https://www.facebook.com/420299708018193'],,,,"[{'freeform': None, 'locality': 'Santa Cruz', 'postcode': None, 'region': 'CA', 'country': 'US'}]",-122.0649762,36.9492823
-122.057129,36.952318,0434c8ce-6278-4268-b2cf-82dee08a3606,1,"[{'property': '', 'dataset': 'meta', 'record_id': '122374757829152', 'update_time': '2025-06-02T07:00:00.000Z', 'confidence': 0.7548172757475083, 'between': None}]","{'primary': 'Natural Bridges State Park', 'common': None, 'rules': None}","{'primary': 'park', 'alternate': array(['skate_park', 'beach'], dtype=object)}",0.7548172757475083,['www.geonames.org/5376246/natural-bridges-state-beach.html'],['https://www.facebook.com/122374757829152'],,,,"[{'freeform': 'Natural Bridges State Park', 'locality': None, 'postcode': '95062', 'region': None, 'country': 'US'}]",-122.057129,36.952318
-122.05717,36.9525,d4da9a5e-3c88-4a63-a622-5e567dc4c56f,1,"[{'property': '', 'dataset': 'meta', 'record_id': '166607313425266', 'update_time': '2025-06-02T07:00:00.000Z', 'confidence': 0.7548172757475083, 'between': None}]","{'primary': 'Monarch Butterfly Trail', 'common': None, 'rules': None}","{'primary': 'park', 'alternate': array(['hiking_trail', 'landmark_and_historical_building'], dtype=object)}",0.7548172757475083,['http://www.parks.ca.gov/?page_id=541'],['https://www.facebook.com/166607313425266'],,,,"[{'freeform': '2531 W Cliff Dr', 'locality': 'Santa Cruz', 'postcode': '95060-6257', 'region': 'CA', 'country': 'US'}]",-122.05717,36.9525
-122.057152,36.952466,767355ac-f885-40ed-a546-bb167ee40015,1,"[{'property': '', 'dataset': 'meta', 'record_id': '337308546717878', 'update_time': '2025-06-02T07:00:00.000Z', 'confidence': 0.7548172757475083, 'between': None}]","{'primary': 'Monarch Grove Natural Bridges Santa Cruz Ca', 'common': None, 'rules': None}","{'primary': 'park', 'alternate': array(['public_and_government_association', 'parking'], dtype=object)}",0.7548172757475083,,['https://www.facebook.com/337308546717878'],,,,"[{'freeform': 'Monarch Grove Natural Bridges Santa Cruz Ca', 'locality': None, 'postcode': '95060', 'region': None, 'country': 'US'}]",-122.057152,36.952466
